application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url
INT-10668,Usman Siddiqui,usman.siddiqui668@yahoo.com,03341098788,27,Female,Rawalpindi,Punjab,BBA,Shah Abdul Latif University,,"Pandas, Machine Learning, Git, Python",9,Business Intelligence,Referral,49000,2025-04-10 14:38:00,https://www.linkedin.com/in/usman-siddiqui668
INT-10529,Ali Qureshi,ali.qureshi529@icloud.com,03269978381,27,Male,Multan,Punjab,BS Information Technology,NUST,3.07,"Statistics, Git, SQL",7,Marketing,LinkedIn,12000,2025-04-22 07:53:00,https://www.linkedin.com/in/ali-qureshi529
INT-10659,Noor Shaikh,noor.shaikh659@gmail.com,03497777566,26,Male,Abbottabad,Khyber Pakhtunkhwa,BS Economics,University of Sindh,3.22,"Statistics, Tableau, Power BI",3,Software Development,LinkedIn,28000,2025-03-23 19:40:00,https://www.linkedin.com/in/noor-shaikh659
INT-10247,Iqra Qureshi,iqra.qureshi247@gmail.com,03252303558,20,Female,,Punjab,BS Information Technology,FAST NUCES,3.18,"Tableau, Statistics, Python, Pandas, Communication, SQL",0,Software Development,Internee.pk,35000,2025-04-07 14:03:00,https://www.linkedin.com/in/iqra-qureshi247
INT-10183,Zara Abbasi,zara.abbasi183@gmail.com,03475648747,26,Female,Larkana,Sindh,BS Data Science,NUST,3.89,Git / power bi / Tableau / Statistics,12,Data Analytics,University Portal,32000,2025-03-14 10:46:00,https://www.linkedin.com/in/zara-abbasi183
INT-10425,Fatima Rind,fatima.rind425@yahoo.com,03316630731,28,Female,Larkana,Sindh,BS Computer Science,University of Karachi,2.65,"Excel, Communication, Statistics, Machine Learning, Git",14,Software Development,University Portal,40000,2025-04-18 19:30:00,https://www.linkedin.com/in/fatima-rind425
INT-10065,Talha Rind,talha.rind65@icloud.com,+92 321 923 9650,22,Male,Multan,Punjab,BS Information Technology,Shah Abdul Latif University,2.6,"Python, Machine Learning, Git, Communication",2,Finance,LinkedIn,15000,2025-03-02 12:54:00,https://www.linkedin.com/in/talha-rind65
INT-10537,Laiba Abbasi,laiba.abbasi537@icloud.com,03295058606,23,Male,Lahore,Punjab,BS Economics,FAST NUCES,2.81,Git / Communication / Pandas,9,Software Development,University Portal,46000,2025-03-19 19:45:00,https://www.linkedin.com/in/laiba-abbasi537
INT-10051,Eman Siddiqui,eman.siddiqui51@yahoo.com,03475617083,15,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,FAST NUCES,3.77,"Statistics, Communication, Data Visualization, SQL, HTML/CSS",7,Product,Referral,37000,2025-04-15 21:40:00,https://www.linkedin.com/in/eman-siddiqui51
INT-10626,Zain Mirza,zain.mirza626@outlook.com,03075142357,28,Male,Hyderabad,Sindh,BS Information Technology,Bahria University,3.05,Pandas / Data Visualization / python / Communication / Machine Learning / SQL,2,Product,Indeed,32000,2025-04-16 12:02:00,https://www.linkedin.com/in/zain-mirza626
INT-10727,Mariam Rind,mariam.rind727@gmail.com,03441250592,24,Male,Nawabshah,Sindh,BS Software Engineering,FAST NUCES,3.23,"HTML/CSS, SQL, Statistics, Machine Learning, Excel",12,Software Development,Direct,30000,2025-04-01 06:40:00,https://www.linkedin.com/in/mariam-rind727
INT-10396,Bilal Siddiqui,bilal.siddiqui396@gmail.com,03223330925,27,Male,Islamabad,Islamabad Capital Territory,bs computer science,University of Karachi,3.34,excel / pandas / communication / machine learning,29,Data Analytics,University Portal,31000,2025-04-14 06:48:00,https://www.linkedin.com/in/bilal-siddiqui396
INT-10307,Ahsan Syed,ahsan.syed307@icloud.com,03457180545,27,Male,Larkana,Sindh,BS Information Technology,Punjab University,3.29,"SQL, Excel, Pandas, Data Visualization",15,Business Intelligence,Direct,18000,2025-03-03 00:51:00,https://www.linkedin.com/in/ahsan-syed307
INT-10023,Bilal Ansari,bilal.ansari23@gmail.com,03073639321,30,Male,Hyderabad,Sindh,BS Computer Science,NED University,2.96,"Power BI, Tableau, Statistics, Python, Data Visualization, HTML/CSS",3,Marketing,Indeed,23000,2025-03-26 02:14:00,https://www.linkedin.com/in/bilal-ansari23
INT-10777,Hamza Shaikh,hamza.shaikh777@outlook.com,03440001645,28,Male,Lahore,Punjab,BBA,IBA Karachi,3.19,"Power BI, Machine Learning",2,Product,University Portal,22000,2025-03-15 09:01:00,https://www.linkedin.com/in/hamza-shaikh777
INT-10059,Ali Chandio,ali.chandio59@icloud.com,03130204444,27,Female,Multan,Punjab,BS Software Engineering,Shah Abdul Latif University,3.43,"Data Visualization, Python, HTML/CSS, Git, Pandas",10,Data Analytics,Internee.pk,33000,2025-04-16 03:22:00,
INT-10817,Hamza Rind,HAMZA.RIND817@GMAIL.COM,03097953639,25,Female,Larkana,Sindh,BS Computer Science,NED University,3.78,,19,Software Development,Referral,26000,2025-03-17 14:17:00,https://www.linkedin.com/in/hamza-rind817
INT-10611,Sana Ansari,sana.ansari611@yahoo.com,03117566565,31,Male,Hyderabad,Sindh,BS Computer Science,NED University,3.2,"HTML/CSS, Data Visualization, Git, Statistics, Power BI, Python",36,Marketing,University Portal,45000,2025-03-23 09:53:00,https://www.linkedin.com/in/sana-ansari611
INT-10825,Sajid Abbasi,sajid.abbasi825@icloud.com,03340807358,20,Female,Quetta,Balochistan,BS Economics,Punjab University,2.93,"Power BI, Data Visualization, Python",9,Finance,Internee.pk,25000,2025-03-02 20:12:00,https://www.linkedin.com/in/sajid-abbasi825
INT-10550,Farhan Baloch,farhan.baloch550@yahoo.com,03390731056,25,Male,Faisalabad,Punjab,BS Statistics,University of Sindh,3.43,"Excel, Power BI, Statistics, Python, Communication, Git",18,Software Development,Indeed,39000,2025-04-11 18:16:00,https://www.linkedin.com/in/farhan-baloch550
INT-10296,Hussain Ansari, hussain.ansari296@gmail.com ,03301155577,27,Male,Gujranwala,Punjab,BS Economics,Mehran University,2.64,"Tableau, Machine Learning, Python, Power BI, Git",9,Business Intelligence,LinkedIn,53000,2025-03-01 22:50:00,https://www.linkedin.com/in/hussain-ansari296
INT-10340,Mahnoor Shaikh,mahnoor.shaikh340@outlook.com,03128445018,25,Male,Nawabshah,Sindh,BS Information Technology,COMSATS University,2.95,"Python, Excel, HTML/CSS, Machine Learning, Communication, Pandas",3,Software Development,University Portal,44000,2025-04-04 15:30:00,https://www.linkedin.com/in/mahnoor-shaikh340
INT-10678,Sajid Siddiqui,sajid.siddiqui678@yahoo.com,03411352108,23,Male,Islamabad,Islamabad Capital Territory,BS Computer Science,Mehran University,3.04,"Power BI, Tableau",9,Software Development,University Portal,33000,2025-03-31 13:55:00,https://www.linkedin.com/in/sajid-siddiqui678
INT-10003,Noor Jatoi,noor.jatoi3@outlook.com,03151788354,25,Male,Nawabshah,Sindh,BS Statistics,NED University,3.1,"Python, Machine Learning, Git, Communication",13,Marketing,Direct,40000,2025-03-21 19:31:00,https://www.linkedin.com/in/noor-jatoi3
INT-10836,Yasir Chandio,yasir.chandio836@icloud.com,03023429536,26,Male,Islamabad,Islamabad Capital Territory,BS Economics,NUST,2.68,"SQL, Git, Pandas",21,Marketing,Indeed,36000,2025-03-03 02:09:00,https://www.linkedin.com/in/yasir-chandio836
INT-10624,Nimra Malik,nimra.malik624@gmail.com,0302-397 5012,24,Female,Nawabshah,Sindh,BS Information Technology,Shah Abdul Latif University,3.17,"Git, Machine Learning, HTML/CSS, Statistics",3,Software Development,Indeed,27000,2025-04-22 23:27:00,https://www.linkedin.com/in/nimra-malik624
INT-10724,Laiba Ali,laiba.ali724@yahoo.com,03075695835,31,Male,Karachi,Sindh,BS Information Technology,,2.79,"Data Visualization, HTML/CSS, Excel, Power BI, Python",5,Data Analytics,Referral,36000,2025-04-16 08:14:00,https://www.linkedin.com/in/laiba-ali724
INT-10523,Mahnoor Rind,mahnoor.rind523@icloud.com,03230691593,19,Female,Sukkur,Sindh,BS Information Technology,NED University,3.44,"Machine Learning, Power BI, Communication, Git, Pandas, SQL",23,Software Development,Direct,42000,2025-03-21 06:36:00,https://www.linkedin.com/in/mahnoor-rind523
INT-10338,Laiba Mirza,laiba.mirza338@gmail.com,03103907056,27,Female,Faisalabad,Punjab,BBA,NUST,2.32,"Python, Pandas, Machine Learning, HTML/CSS, Git",13,Data Analytics,University Portal,50000,2025-03-08 03:58:00,https://www.linkedin.com/in/laiba-mirza338
INT-10123,Farhan Shah,farhan.shah123@outlook.com,+92 307 330 4905,25,Male,Mardan,Khyber Pakhtunkhwa,BS Data Science,LUMS,2.87,"Tableau, Communication, Pandas",2,Software Development,University Portal,20000,2025-04-27 07:51:00,https://www.linkedin.com/in/farhan-shah123
INT-10246,Rida Rind,rida.rind246@icloud.com,03198792689,24,Female,Hyderabad,Sindh,BS Computer Science,FAST NUCES,3.03,"HTML/CSS, Machine Learning",9,Software Development,Internee.pk,43000,2025-03-18 16:24:00,https://www.linkedin.com/in/rida-rind246
INT-10145,Farhan Ali,farhan.ali145@outlook.com,03184582985,23,Male,Hyderabad,Sindh,BBA,FAST NUCES,3.32,"Data Visualization, Statistics",10,Marketing,Indeed,34000,2025-03-18 18:46:00,https://www.linkedin.com/in/farhan-ali145
INT-10011,AHSAN ALI,ahsan.ali11@yahoo.com,03150163144,26,Male,Gujranwala,Punjab,BS Computer Science,University of Sindh,3.27,"Machine Learning, Excel, HTML/CSS, SQL, Python",17,Finance,Referral,35000,2025-03-21 13:03:00,https://www.linkedin.com/in/ahsan-ali11
INT-10496,Zara Malik,zara.malik496@outlook.com,03492307517,29,Female,Lahore,Punjab,BS Computer Science,NED University,3.0,"Excel, Data Visualization",8,Data Analytics,University Portal,33000,2025-03-11 08:33:00,https://www.linkedin.com/in/zara-malik496
INT-10191,Hamza Khan,hamza.khan191@outlook.com,03162251616,28,Female,Nawabshah,Sindh,BS Computer Science,NUST,2.91,"Git, HTML/CSS, Tableau, Pandas, Excel, Python",2,Product,LinkedIn,35000,2025-04-13 12:23:00,
INT-10399,Talha Baloch,TALHA.BALOCH399@YAHOO.COM,03117997660,22,Male,Multan,Punjab,BS Computer Science,Bahria University,3.27,"Tableau, SQL, Communication, Excel",18,Data Analytics,Referral,19000,2025-04-17 23:20:00,https://www.linkedin.com/in/talha-baloch399
INT-10711,Danish Syed,danish.syed711@outlook.com,0319-660 4054,23,Female,Larkana,Sindh,BS Data Science,IBA Karachi,2.76,"HTML/CSS, Excel, Statistics",16,Data Analytics,Indeed,22000,2025-03-31 14:30:00,https://www.linkedin.com/in/danish-syed711
INT-20039,laiba khan,LAIBA.KHAN525@OUTLOOK.COM,03055261306,27,Female,Lahore,Punjab,BS Computer Science,University of Sindh,3.19,"HTML/CSS, Excel, SQL, Communication, Data Visualization",4,Software Development,University Portal,27000,2025-03-14 04:54:00,https://www.linkedin.com/in/laiba-khan525
INT-10521,Saad Ahmed,saad.ahmed521@yahoo.com,0336-712 1044,20,Male,Multan,Punjab,BS Software Engineering,COMSATS University,3.4,Pandas; git; tableau; Machine Learning; Data Visualization; HTML/CSS,26,Marketing,University Portal,18000,2025-04-06 07:59:00,https://www.linkedin.com/in/saad-ahmed521
INT-10783,MUHAMMAD ALI,muhammad.ali783@yahoo.com,03164441569,29,Male,Rawalpindi,Punjab,BS Computer Science,COMSATS University,2.83,"HTML/CSS, Data Visualization, Python, Excel, Tableau, Machine Learning",26,Finance,Internee.pk,11000,2025-03-08 05:55:00,https://www.linkedin.com/in/muhammad-ali783
INT-10769,Bilal Baloch,bilal.baloch769@yahoo.com,03158208274,21,Male,Islamabad,Islamabad Capital Territory,BS Software Engineering,COMSATS University,3.22,"Excel, Git, Data Visualization, Power BI, Machine Learning, Communication",20,Data Analytics,Indeed,36000,2025-03-05 09:25:00,https://www.linkedin.com/in/bilal-baloch769
INT-10610,Shayan Shah,shayan.shah610@outlook.com,03260621900,27,Female,Peshawar,Khyber Pakhtunkhwa,BS Data Science,COMSATS University,2.51,"SQL, Git, Communication, Pandas, Statistics, Excel",6,Finance,LinkedIn,52000,2025-03-30 16:04:00,https://www.linkedin.com/in/shayan-shah610
INT-10782,Mariam Shah,mariam.shah782@yahoo.com,03115676804,28,Male,Abbottabad,Khyber Pakhtunkhwa,BBA,University of Karachi,2.25,Excel; Data Visualization; python; Communication; Statistics; sql,8,Marketing,Direct,33000,2025-04-04 23:12:00,https://www.linkedin.com/in/mariam-shah782
INT-10640,Hamza Chandio,hamza.chandio640@yahoo.com,03402439994,29,Female,Gujranwala,Punjab,BS Information Technology,COMSATS University,3.74,"Excel, Tableau, Statistics, Machine Learning",8,Data Analytics,Direct,25000,2025-03-28 07:29:00,https://www.linkedin.com/in/hamza-chandio640
INT-10713,Hussain Shah,hussain.shah713@icloud.com,03095876194,26,Male,Karachi,Sindh,BS Statistics,FAST NUCES,3.4,"Excel, Git, Pandas",5,Human Resources,University Portal,14000,2025-03-21 23:32:00,https://www.linkedin.com/in/hussain-shah713
INT-10630,Iqra Abbasi,iqra.abbasi630@yahoo.com,03160195372,23,Male,Larkana,Sindh,BS Software Engineering,Bahria University,2.65,data visualization | sql | Pandas,5,Software Development,Internee.pk,20000,2025-03-09 02:54:00,https://www.linkedin.com/in/iqra-abbasi630
INT-10447,Sidra Mirza,sidra.mirza447@icloud.com,03186760064,25,Female,Larkana,Sindh,BS Information Technology,Shah Abdul Latif University,2.0,"Excel, Statistics, HTML/CSS",14,Data Analytics,University Portal,12000,2025-04-06 21:54:00,https://www.linkedin.com/in/sidra-mirza447
INT-10302,Hamza Syed,hamza.syed302@yahoo.com,03230377516,23,Male,Gujranwala,Punjab,BS Information Technology,University of Sindh,2.88,"Git, Python",1,Software Development,University Portal,19000,2025-04-11 11:47:00,https://www.linkedin.com/in/hamza-syed302
INT-10127,Ali Rajput,ali.rajput127@yahoo.com,03323800090,25,Male,Larkana,Sindh,BS Data Science,IBA Karachi,3.58,"Pandas, Statistics, Git",6,Software Development,Internee.pk,31000,2025-03-20 17:14:00,https://www.linkedin.com/in/ali-rajput127
INT-10516,MUHAMMAD AHMED,muhammad.ahmed516@yahoo.com,,26,Male,Faisalabad,Punjab,BSDS,LUMS,2.95,"Excel, Statistics, Communication",15,Data Analytics,LinkedIn,25000,2025-03-09 15:13:00,https://www.linkedin.com/in/muhammad-ahmed516
INT-10576,Hira Baloch,hira.baloch576@outlook.com,03389017410,26,Female,Multan,Punjab,BBA,Mehran University,2.6,"Statistics, Power BI",7,Business Intelligence,University Portal,14000,2025-03-08 19:57:00,https://www.linkedin.com/in/hira-baloch576
INT-10509,Mariam Baloch,mariam.baloch509@yahoo.com,03331986889,33,Female,SUKKUR,Sindh,BS Computer Science,LUMS,2.86,"Git, Data Visualization, HTML/CSS, Python, Excel",6,Data Analytics,University Portal,24000,2025-03-07 23:33:00,https://www.linkedin.com/in/mariam-baloch509
INT-10824,Farhan Bhatti,farhan.bhatti824@gmail.com,03083193263,27,Male,Gujranwala,Punjab,BBA,University of Sindh,3.26,"Machine Learning, Python",9,Finance,Internee.pk,28000,2025-03-21 00:42:00,https://www.linkedin.com/in/farhan-bhatti824
INT-10254,Sidra Syed,sidra.syed254@outlook.com,03182777702,24,Female,Gujranwala,Punjab,BS Statistics,Punjab University,3.06,"Power BI, Python, Git",22,Business Intelligence,Indeed,39000,2025-04-16 03:16:00,https://www.linkedin.com/in/sidra-syed254
INT-10435,Eman Ansari,eman.ansari435@gmail.com,03280746445,26,Male,Nawabshah,Sindh,BS Software Engineering,Punjab University,2.67,"Power BI, HTML/CSS, Machine Learning, Statistics",0,Human Resources,LinkedIn,12000,2025-04-15 22:40:00,https://www.linkedin.com/in/eman-ansari435
INT-10269,Areeba Ali,areeba.ali269@gmail.com,03013679287,23,Male,Hyderabad,Sindh,BS Information Technology,University of Karachi,3.11,"Machine Learning, SQL, Tableau",5,Product,Indeed,16000,2025-03-12 09:30:00,https://www.linkedin.com/in/areeba-ali269
INT-20029,hamza syed,HAMZA.SYED302@YAHOO.COM,03230377516,23,Male,Gujranwala,Punjab,BS Information Technology,University of Sindh,2.88,"Git, Python",1,Software Development,University Portal,19000,2025-04-11 12:21:00,https://www.linkedin.com/in/hamza-syed302
INT-10306,Hamza Jatoi,hamza.jatoi306@gmail.com,03253622532,26,Male,Hyderabad,Sindh,BS Computer Science,Bahria University,3.73,Excel; Power BI; communication,6,Data Analytics,Referral,52000,2025-03-26 17:55:00,https://www.linkedin.com/in/hamza-jatoi306
INT-10009,Saad Khan,saad.khan9@gmail.com,03184530650,27,Male,Nawabshah,Sindh,BS Software Engineering,Punjab University,3.36,"Machine Learning, HTML/CSS, Power BI, Python, Git, Excel",23,Finance,Indeed,10000,2025-03-22 22:44:00,https://www.linkedin.com/in/saad-khan9
INT-10378,Mariam Baloch,mariam.baloch378@gmail.com,03059375688,29,Female,Islamabad,Islamabad Capital Territory,BS Information Technology,Punjab University,2.58,"Pandas, Machine Learning, HTML/CSS, Git",10,Finance,LinkedIn,25000,2025-03-12 00:03:00,https://www.linkedin.com/in/mariam-baloch378
INT-20013,iqra siddiqui,IQRA.SIDDIQUI208@OUTLOOK.COM,03031479842,21,Male,Karachi ,Sindh,BS Information Technology,LUMS,3.19,"Data Visualization, Power BI, Excel",8,Software Development,Referral,34000,2025-03-31 16:05:00,https://www.linkedin.com/in/iqra-siddiqui208
INT-10751,Mahnoor Chandio,mahnoor.chandio751@icloud.com,03330537612,21,Female,Nawabshah,Sindh,BS Computer Science,University of Karachi,-0.5,"Machine Learning, SQL, Power BI",23,Software Development,Direct,21000,2025-03-11 14:13:00,https://www.linkedin.com/in/mahnoor-chandio751
INT-10149,Fatima Baloch,fatima.baloch149@gmail.com,03076445786,25,Female,Khairpur,Sindh,BBA,University of Karachi,3.11,"Pandas, Excel",9,Business Intelligence,Indeed,18000,2025-04-08 09:28:00,https://www.linkedin.com/in/fatima-baloch149
INT-10796,Yasir Siddiqui,yasir.siddiqui796@gmail.com,03318828288,22,Male,Gujranwala,Punjab,BS Software Engineering,NUST,3.74,"Excel, Pandas",8,Data Analytics,University Portal,28000,2025-03-25 00:26:00,https://www.linkedin.com/in/yasir-siddiqui796
INT-10832,eman ahmed,eman.ahmed832@gmail.com,03339805678,21,Female,SUKKUR,Sindh,BS Information Technology,NUST,3.46,"Python, HTML/CSS, SQL",7,Business Intelligence,University Portal,23000,2025-03-26 20:48:00,https://www.linkedin.com/in/eman-ahmed832
INT-10126,Sajid Memon,sajid.memon126@gmail.com,03231422290,29,Male,Khairpur,Sindh,BS Information Technology,Punjab University,4.8,"Tableau, HTML/CSS, SQL",8,Product,LinkedIn,18000,2025-03-26 18:21:00,https://www.linkedin.com/in/sajid-memon126
INT-10102,Usman Shaikh, usman.shaikh102@outlook.com ,,23,Male,Sukkur,Sindh,BS Data Science,COMSATS University,3.54,"HTML/CSS, Excel, Power BI, Machine Learning",3,Business Intelligence,Direct,31000,2025-03-31 03:53:00,https://www.linkedin.com/in/usman-shaikh102
INT-10620,Yasir Shah,yasir.shah620@yahoo.com,03096269040,22,Male,Quetta,Balochistan,BS Economics,IBA Karachi,2.21,"Excel, Data Visualization",9,DATA ANALYTICS,Indeed,32000,2025-04-08 22:41:00,https://www.linkedin.com/in/yasir-shah620
INT-10001,Zara Baloch,zara.baloch1@outlook.com,03126858174,18,Male,Hyderabad,Sindh,BS Statistics,FAST NUCES,3.18,"Statistics, Pandas, Python, SQL",21,Business Intelligence,LinkedIn,24000,2025-04-23 11:37:00,https://www.linkedin.com/in/zara-baloch1
INT-10637,Areeba Abbasi,areeba.abbasi637@gmail.com,03135641624,29,Male,Islamabad,Islamabad Capital Territory,BS Information Technology,University of Sindh,2.55,,14,Data Analytics,LinkedIn,36000,2025-04-11 20:31:00,https://www.linkedin.com/in/areeba-abbasi637
INT-10250,Mahnoor Soomro,mahnoor.soomro250@icloud.com,03026616210,23,Male,Sukkur,Sindh,BBA,NED University,2.61,"Statistics, HTML/CSS, Git, Pandas",18,Product,University Portal,35000,2025-04-27 05:58:00,https://www.linkedin.com/in/mahnoor-soomro250
INT-10071,DANISH RAJPUT,danish.rajput71@outlook.com,03280440589,23,Female,Lahore,Punjab,BS Information Technology,Shah Abdul Latif University,3.33,"Machine Learning, Excel",11,Finance,Internee.pk,47000,2025-03-02 02:33:00,https://www.linkedin.com/in/danish-rajput71
INT-10746,HUSSAIN SHAH,hussain.shah746@outlook.com,03115582484,28,Male,Rawalpindi,Punjab,BS Computer Science,University of Karachi,3.32,Power BI | Machine Learning | Pandas | excel | Git | data visualization,10,Software Development,Internee.pk,10000,2025-03-03 06:49:00,https://www.linkedin.com/in/hussain-shah746
INT-10706,Laiba Rajput,laiba.rajput706@gmail.com,03012535037,27,Male,Sukkur,Sindh,BS Computer Science,NED University,3.26,"Data Visualization, Machine Learning, Excel",2,Marketing,LinkedIn,35000,2025-03-05 01:47:00,https://www.linkedin.com/in/laiba-rajput706
INT-10144,Danish Bhatti,danish.bhatti144@gmail.com,03222870265,23,Male,Nawabshah,Sindh,BS Information Technology,COMSATS University,3.58,"Pandas, Tableau, Git",7,Business Intelligence,LinkedIn,28000,2025-03-15 19:29:00,https://www.linkedin.com/in/danish-bhatti144
INT-10708,Hamza Memon,hamza.memon708@gmail.com,03181237470,19,Female,Rawalpindi,Punjab,BS Economics,Bahria University,3.33,"Machine Learning, Power BI, Tableau, Git",1,Software Development,Internee.pk,20000,2025-04-23 19:31:00,https://www.linkedin.com/in/hamza-memon708
INT-10673,SHAYAN SHAH,shayan.shah673@yahoo.com,03163991650,20,Male,Abbottabad,Khyber Pakhtunkhwa,BS Data Science,Shah Abdul Latif University,2.66,"Power BI, HTML/CSS, Statistics",4,Marketing,LinkedIn,48000,2025-04-01 11:46:00,https://www.linkedin.com/in/shayan-shah673
INT-10487,Mahnoor Memon,mahnoor.memon487@yahoo.com,03193104422,26,Male,Khairpur,Sindh,BS Information Technology,University of Sindh,2.0,"Python, Data Visualization, Excel, SQL, Statistics",12,Human Resources,Indeed,23000,2025-03-10 15:52:00,https://www.linkedin.com/in/mahnoor-memon487
INT-10235,Sana Rind,SANA.RIND235@YAHOO.COM,03121413433,29,Male,Faisalabad,Punjab,BS Software Engineering,,3.06,"Git, Data Visualization, Tableau, Machine Learning",5,Product,Indeed,23000,2025-04-06 08:55:00,https://www.linkedin.com/in/sana-rind235
INT-10236,Mahnoor Malik,mahnoor.malik236@icloud.com,03394065998,26,Male,Faisalabad,Punjab,BS Computer Science,University of Sindh,2.68,"HTML/CSS, Communication, Pandas, SQL",8,Data Analytics,LinkedIn,16000,2025-03-17 01:59:00,https://www.linkedin.com/in/mahnoor-malik236
INT-10286,Hussain Abbasi,hussain.abbasi286@yahoo.com,03198321137,26,Female,Hyderabad,Sindh,BS Computer Science,LUMS,3.17,"Excel, Python, Power BI, SQL, Communication",15,Human Resources,University Portal,43000,2025-04-28 20:02:00,https://www.linkedin.com/in/hussain-abbasi286
INT-10207,Hira Bhatti,hira.bhatti207@icloud.com,03057013284,26,Female,,Sindh,BS Software Engineering,University of Karachi,3.43,"Power BI, Excel, Data Visualization, Machine Learning, SQL",11,Human Resources,University Portal,22000,2025-04-03 10:23:00,https://www.linkedin.com/in/hira-bhatti207
INT-10446,Mahnoor Shaikh,MAHNOOR.SHAIKH446@OUTLOOK.COM,03246152632,30,Male,Larkana,Sindh,BS Computer Science,FAST NUCES,2.75,"Tableau, Python, Statistics, Communication",7,Business Intelligence,Referral,35000,2025-04-05 06:42:00,https://www.linkedin.com/in/mahnoor-shaikh446
INT-10797,  Sana Chandio ,sana.chandio797@outlook.com,03349172963,26,,Khairpur,Sindh,BS Information Technology,Punjab University,2.75,"HTML/CSS, Data Visualization, Git",17,Software Development,Referral,26000,2025-04-17 04:45:00,https://www.linkedin.com/in/sana-chandio797
INT-10590,Mahnoor Memon,mahnoor.memon590@gmail.com,03345429848,25,Female,,Islamabad Capital Territory,BS Economics,FAST NUCES,3.41,"Python, SQL, HTML/CSS, Pandas, Machine Learning, Communication",18,Human Resources,LinkedIn,31000,2025-03-21 18:11:00,https://www.linkedin.com/in/mahnoor-memon590
INT-10546,Nimra Jatoi,nimra.jatoi546@yahoo.com,03354811418,23,Male,Larkana,Sindh,BS Information Technology,NUST,3.46,"Excel, Power BI, SQL",12,Business Intelligence,Direct,48000,2025-04-04 16:04:00,https://www.linkedin.com/in/nimra-jatoi546
INT-10700,Mahnoor Bhatti, mahnoor.bhatti700@yahoo.com ,03279277838,24,Male,Nawabshah,Sindh,BS Computer Science,University of Sindh,3.13,,0,Business Intelligence,Indeed,25000,2025-04-29 17:09:00,https://www.linkedin.com/in/mahnoor-bhatti700
INT-10259,Shayan Ansari,shayan.ansari259@icloud.com,03230933795,25,Male,Islamabad,Islamabad Capital Territory,BS Information Technology,FAST NUCES,2.95,"Excel, Pandas, Statistics, Python, SQL",3,Marketing,LinkedIn,42000,2025-04-29 02:32:00,https://www.linkedin.com/in/shayan-ansari259
INT-10583,Usman Shaikh,usman.shaikh583@yahoo.com,03248753262,22,Male,Mardan,Khyber Pakhtunkhwa,BS Data Science,COMSATS University,2.66,"Excel, Machine Learning",11,Data Analytics,University Portal,39000,2025-04-06 12:43:00,https://www.linkedin.com/in/usman-shaikh583
INT-10664,Bilal Chandio,bilal.chandio664@outlook.com,03058467334,25,Female,Larkana,Sindh,BS Information Technology,University of Sindh,2.6,"Git, Python",9,Finance,Indeed,38000,2025-04-23 10:18:00,https://www.linkedin.com/in/bilal-chandio664
INT-10172,Farhan Ansari,farhan.ansari172@icloud.com,+92 340 190 5488,20,Male,Gujranwala,Punjab,BS Economics,Punjab University,3.47,Data Visualization | sql,26,Product,University Portal,45000,2025-04-09 17:29:00,https://www.linkedin.com/in/farhan-ansari172
INT-10508,Shayan Khan,shayan.khan508@gmail.com,03208318612,23,Female,Multan,Punjab,BS Data Science,Shah Abdul Latif University,3.11,"Communication, Tableau, Power BI, Pandas, Machine Learning, HTML/CSS",6,Software Development,Direct,24000,2025-04-21 07:41:00,https://www.linkedin.com/in/shayan-khan508
INT-10054,Ali Syed,ali.syed54@yahoo.com,03310815198,27,Female,karachi,Sindh,BS Computer Science,Shah Abdul Latif University,3.51,"Excel, Python",1,Data Analytics,University Portal,16000,2025-03-18 03:07:00,https://www.linkedin.com/in/ali-syed54
INT-10732,NOOR RIND,NOOR.RIND732@ICLOUD.COM,,26,Male,Abbottabad,Khyber Pakhtunkhwa,BS Software Engineering,FAST NUCES,2.97,"HTML/CSS, Power BI, Git",32,Software Development,Direct,17000,2025-03-17 01:32:00,https://www.linkedin.com/in/noor-rind732
INT-10507,Areeba Rajput,areeba.rajput507@gmail.com,03015980248,29,Female,Islamabad,Islamabad Capital Territory,BSDS,LUMS,3.63,"Excel, Tableau, Statistics, Machine Learning, Git, Data Visualization",7,Data Analytics,LinkedIn,16000,2025-03-19 18:00:00,https://www.linkedin.com/in/areeba-rajput507
INT-10559,Eman Memon,eman.memon559@gmail.com,03312803965,23,Male,Faisalabad,Punjab,BS Software Engineering,Bahria University,3.47,"Excel, HTML/CSS, Git, Statistics, Data Visualization, Pandas",6,Data Analytics,LinkedIn,38000,2025-03-31 04:12:00,https://www.linkedin.com/in/eman-memon559
INT-10018,  Ali Mirza ,ali.mirza18@yahoo.com,03397127599,24,Female,Nawabshah,Sindh,BBA,COMSATS University,2.66,statistics / git / SQL / Power BI / Data Visualization,7,Software Development,Indeed,50000,2025-04-12 10:14:00,https://www.linkedin.com/in/ali-mirza18
INT-10008,iqra memon,iqra.memon8@outlook.com,03354685024,28,Male,Islamabad,Islamabad Capital Territory,BS Information Technology,Punjab University,3.39,"SQL, Statistics, Machine Learning, Communication, Power BI",4,Finance,Direct,38000,2025-04-22 07:05:00,https://www.linkedin.com/in/iqra-memon8
