application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url,skill_count,experience_years
INT-20004,Sajid Shaikh,sajid.shaikh457@gmail.com,03481404682,28,Male,Larkana,Sindh,BS Statistics,NUST,3.43,"Statistics, SQL",8,Data Analytics,LinkedIn,38000,2025-04-18 00:11:00,https://www.linkedin.com/in/sajid-shaikh457,2,0.7
INT-10068,Areeba Shah,areeba.shah68@gmail.com,03095033985,28,Male,Gujranwala,Punjab,BS Information Technology,COMSATS University,3.44,"Data Visualization, Power BI, Communication, Excel",9,Data Analytics,LinkedIn,37000,2025-03-02 10:27:00,https://www.linkedin.com/in/areeba-shah68,4,0.8
INT-10475,Hira Ali,hira.ali475@yahoo.com,03161685428,28,Male,Mardan,Khyber Pakhtunkhwa,BS Software Engineering,IBA Karachi,3.09,"Html, Css, Power BI, Git",5,Data Analytics,University Portal,35000,2025-03-24 15:46:00,https://www.linkedin.com/in/hira-ali475,4,0.4
INT-10456,Zara Malik,zara.malik456@icloud.com,03490872860,28,Male,Lahore,Punjab,BS Information Technology,University of Karachi,2.6,"Python, Excel, Tableau",7,Data Analytics,LinkedIn,35000,2025-04-26 15:16:00,https://www.linkedin.com/in/zara-malik456,3,0.6
INT-10136,Fatima Shaikh,fatima.shaikh136@gmail.com,03078112388,20,Female,Lahore,Punjab,BS Information Technology,University of Karachi,2.16,"Html, Css, Python, Git, Communication",3,Marketing,Referral,16000,2025-04-17 22:52:00,https://www.linkedin.com/in/fatima-shaikh136,5,0.2
INT-10274,Sajid Soomro,sajid.soomro274@gmail.com,03359964824,25,Female,Islamabad,Islamabad Capital Territory,BS Software Engineering,LUMS,2.96,"Tableau, Python",3,Software Development,LinkedIn,31000,2025-03-29 15:41:00,https://www.linkedin.com/in/sajid-soomro274,2,0.2
INT-10679,Danish Memon,danish.memon679@outlook.com,03232029523,28,Male,Karachi,Sindh,BS Information Technology,Mehran University,3.04,"SQL, Html, Css",3,Finance,Internee.pk,20000,2025-04-23 02:22:00,https://www.linkedin.com/in/danish-memon679,3,0.2
INT-10715,Rida Baloch,rida.baloch715@yahoo.com,03218978914,26,Male,Sukkur,Sindh,BBA,University of Karachi,3.07,"Machine Learning, Pandas",16,Finance,Internee.pk,44000,2025-03-27 21:37:00,https://www.linkedin.com/in/rida-baloch715,2,1.3
INT-10563,Eman Chandio,eman.chandio563@yahoo.com,03219176698,24,Female,Faisalabad,Punjab,BS Software Engineering,Punjab University,3.09,"SQL, Python, Statistics, Communication, Pandas",13,Data Analytics,Referral,23000,2025-04-21 23:27:00,https://www.linkedin.com/in/eman-chandio563,5,1.1
INT-10290,Nimra Qureshi,nimra.qureshi290@icloud.com,03241067542,25,Male,Larkana,Sindh,BS Computer Science,NED University,3.07,"Data Visualization, Tableau, Git, Statistics",6,Product,Direct,27000,2025-04-14 21:01:00,https://www.linkedin.com/in/nimra-qureshi290,4,0.5
INT-10562,Sajid Khan,sajid.khan562@icloud.com,03144062810,24,Female,Multan,Punjab,BS Data Science,Bahria University,2.45,"Machine Learning, Statistics, Power BI, Excel, Git, Data Visualization",24,Data Analytics,Indeed,39000,2025-04-05 21:58:00,https://www.linkedin.com/in/sajid-khan562,6,2.0
INT-10667,Yasir Siddiqui,yasir.siddiqui667@yahoo.com,03462993060,24,Male,Faisalabad,Punjab,BS Computer Science,FAST NUCES,3.35,"Machine Learning, Communication, Excel",9,Data Analytics,University Portal,28000,2025-03-31 01:09:00,https://www.linkedin.com/in/yasir-siddiqui667,3,0.8
INT-10380,Danish Rind,danish.rind380@outlook.com,03436740723,25,Male,Sukkur,Sindh,BS Data Science,Mehran University,2.87,"Pandas, Html, Css, Data Visualization, SQL",4,Business Intelligence,Referral,36000,2025-04-20 00:49:00,https://www.linkedin.com/in/danish-rind380,5,0.3
INT-10139,Laiba Chandio,laiba.chandio139@outlook.com,03232146149,27,Male,Rawalpindi,Punjab,BS Information Technology,NUST,3.43,"Excel, Git, Tableau",0,Data Analytics,Internee.pk,45000,2025-04-06 05:45:00,https://www.linkedin.com/in/laiba-chandio139,3,0.0
INT-10601,Noor Siddiqui,noor.siddiqui601@yahoo.com,03078601627,29,Female,Gujranwala,Punjab,BS Statistics,University of Sindh,2.54,"Python, Pandas, Excel, Communication",20,Finance,Internee.pk,27000,2025-03-28 03:03:00,https://www.linkedin.com/in/noor-siddiqui601,4,1.7
INT-10042,Hamza Khan,hamza.khan42@yahoo.com,03173777481,25,Female,Islamabad,Islamabad Capital Territory,BS Information Technology,LUMS,3.19,Not Specified,20,Human Resources,LinkedIn,28000,2025-04-18 07:05:00,https://www.linkedin.com/in/hamza-khan42,0,1.7
INT-10282,Talha Memon,talha.memon282@icloud.com,03093898945,28,Female,Faisalabad,Punjab,BS Data Science,Mehran University,3.29,"Communication, Machine Learning, SQL",5,Business Intelligence,LinkedIn,19000,2025-03-17 16:09:00,https://www.linkedin.com/in/talha-memon282,3,0.4
INT-10532,Talha Soomro,talha.soomro532@outlook.com,03374535201,18,Male,Hyderabad,Sindh,BS Data Science,IBA Karachi,2.51,"Data Visualization, Excel, Tableau, Communication",8,Business Intelligence,Internee.pk,41000,2025-04-10 10:59:00,https://www.linkedin.com/in/talha-soomro532,4,0.7
INT-10654,Yasir Qureshi,yasir.qureshi654@gmail.com,03396979728,27,Male,Nawabshah,Sindh,BS Computer Science,LUMS,3.04,"Python, Tableau, Git, Excel",25,Business Intelligence,Indeed,44000,2025-04-18 08:21:00,https://www.linkedin.com/in/yasir-qureshi654,4,2.1
INT-10774,Shayan Khan,shayan.khan774@yahoo.com,03024314753,28,Female,Lahore,Punjab,BS Economics,Shah Abdul Latif University,2.4,"Html, Css, Data Visualization, SQL, Communication, Python",19,Finance,Internee.pk,23000,2025-03-14 01:00:00,https://www.linkedin.com/in/shayan-khan774,6,1.6
INT-10768,Mariam Shah,mariam.shah768@yahoo.com,03217833596,20,Male,Nawabshah,Sindh,BBA,University of Sindh,3.49,"Data Visualization, Git, Html, Css",3,Software Development,University Portal,31000,2025-04-26 07:38:00,https://www.linkedin.com/in/mariam-shah768,4,0.2
INT-10469,Sajid Memon,sajid.memon469@yahoo.com,03407677998,25,Male,Sukkur,Sindh,BS Information Technology,COMSATS University,3.51,"Pandas, Machine Learning, Python, Tableau, Html, Css",47,Human Resources,Direct,17000,2025-03-13 04:23:00,https://www.linkedin.com/in/sajid-memon469,6,3.9
INT-10619,Hamza Shaikh,hamza.shaikh619@icloud.com,03465450374,26,Male,Nawabshah,Sindh,BS Computer Science,NUST,3.41,Not Specified,6,Business Intelligence,Indeed,33000,2025-03-04 00:13:00,https://www.linkedin.com/in/hamza-shaikh619,0,0.5
INT-10572,Zain Bhatti,zain.bhatti572@icloud.com,03468946486,24,Female,Abbottabad,Khyber Pakhtunkhwa,BS Information Technology,NUST,3.14,"Communication, Html, Css, Machine Learning, Statistics, Excel, Power BI",18,Software Development,Referral,37000,2025-03-19 03:05:00,https://www.linkedin.com/in/zain-bhatti572,7,1.5
INT-10132,Laiba Ansari,laiba.ansari132@icloud.com,03232589590,25,Male,Sukkur,Sindh,BS Information Technology,COMSATS University,3.77,"Communication, Data Visualization, Power BI, Python",3,Software Development,Referral,32000,2025-04-02 03:13:00,https://www.linkedin.com/in/laiba-ansari132,4,0.2
INT-10649,Sidra Syed,sidra.syed649@icloud.com,03045071367,22,Female,Khairpur,Sindh,BS Information Technology,Bahria University,2.97,"Excel, Python, Communication, Html, Css, Statistics, Data Visualization",11,Data Analytics,University Portal,44000,2025-04-13 23:56:00,https://www.linkedin.com/in/sidra-syed649,7,0.9
INT-10489,Mahnoor Shaikh,mahnoor.shaikh489@yahoo.com,03171424763,31,Male,Lahore,Punjab,BS Economics,COMSATS University,3.46,"Pandas, Tableau, Excel, Machine Learning, SQL, Html, Css",9,Data Analytics,University Portal,26000,2025-04-27 07:33:00,https://www.linkedin.com/in/mahnoor-shaikh489,7,0.8
INT-10759,Talha Memon,talha.memon759@outlook.com,03028959617,25,Female,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,FAST NUCES,2.9,"Excel, Html, Css",9,Data Analytics,Referral,26000,2025-03-10 17:31:00,https://www.linkedin.com/in/talha-memon759,3,0.8
INT-10325,Ali Ansari,ali.ansari325@icloud.com,03488384378,25,Male,Islamabad,Islamabad Capital Territory,BS Information Technology,University of Sindh,3.09,"Html, Css, Power BI, Pandas",13,Data Analytics,Referral,10000,2025-04-24 17:58:00,Not Provided,4,1.1
INT-10547,Iqra Bhatti,iqra.bhatti547@outlook.com,03405834359,28,Male,Hyderabad,Sindh,BS Computer Science,University of Karachi,3.49,"Tableau, Pandas, Git",8,Marketing,Internee.pk,27000,2025-03-10 07:10:00,https://www.linkedin.com/in/iqra-bhatti547,3,0.7
INT-10026,Sana Syed,sana.syed26@gmail.com,03191623659,27,Male,Rawalpindi,Punjab,BS Computer Science,IBA Karachi,2.85,"Tableau, Power BI, SQL, Pandas",12,Finance,Indeed,18000,2025-03-10 22:53:00,https://www.linkedin.com/in/sana-syed26,4,1.0
INT-10697,Danish Bhatti,danish.bhatti697@gmail.com,03312010295,23,Male,Multan,Punjab,BS Information Technology,FAST NUCES,3.47,"Excel, Power BI, Pandas, SQL",8,Software Development,Indeed,32000,2025-04-03 21:10:00,Not Provided,4,0.7
INT-10856,Hussain Rind,hussain.rind856@icloud.com,03240044341,26,Male,Karachi,Sindh,BS Data Science,LUMS,3.99,"Excel, Statistics",4,Software Development,University Portal,35000,2025-03-10 09:42:00,https://www.linkedin.com/in/hussain-rind856,2,0.3
INT-10847,Sidra Shah,sidra.shah847@icloud.com,03425422413,24,Male,Rawalpindi,Punjab,BS Information Technology,NED University,2.76,"Html, Css, Git, Tableau, Power BI, Machine Learning, SQL",3,Product,LinkedIn,26000,2025-04-23 11:16:00,https://www.linkedin.com/in/sidra-shah847,7,0.2
INT-10166,Ali Qureshi,ali.qureshi166@outlook.com,03470265150,27,Male,Hyderabad,Sindh,BBA,IBA Karachi,3.43,"Python, Communication, Excel",4,Software Development,Indeed,28000,2025-03-10 19:42:00,https://www.linkedin.com/in/ali-qureshi166,3,0.3
INT-10506,Zain Baloch,zain.baloch506@yahoo.com,03480470328,27,Female,Hyderabad,Sindh,BS Economics,Mehran University,3.12,"Python, SQL, Statistics, Tableau, Excel",26,Human Resources,Direct,32000,2025-04-18 05:11:00,https://www.linkedin.com/in/zain-baloch506,5,2.2
INT-10222,Muhammad Ansari,muhammad.ansari222@gmail.com,03140260446,29,Male,Faisalabad,Punjab,BS Software Engineering,FAST NUCES,2.96,"Communication, Machine Learning, Excel, Pandas",2,Data Analytics,Indeed,41000,2025-04-19 23:06:00,https://www.linkedin.com/in/muhammad-ansari222,4,0.2
INT-10668,Usman Siddiqui,usman.siddiqui668@yahoo.com,03341098788,27,Female,Rawalpindi,Punjab,BBA,Shah Abdul Latif University,3.09,"Pandas, Machine Learning, Git, Python",9,Business Intelligence,Referral,49000,2025-04-10 14:38:00,https://www.linkedin.com/in/usman-siddiqui668,4,0.8
INT-10529,Ali Qureshi,ali.qureshi529@icloud.com,03269978381,27,Male,Multan,Punjab,BS Information Technology,NUST,3.07,"Statistics, Git, SQL",7,Marketing,LinkedIn,12000,2025-04-22 07:53:00,https://www.linkedin.com/in/ali-qureshi529,3,0.6
INT-10659,Noor Shaikh,noor.shaikh659@gmail.com,03497777566,26,Male,Abbottabad,Khyber Pakhtunkhwa,BS Economics,University of Sindh,3.22,"Statistics, Tableau, Power BI",3,Software Development,LinkedIn,28000,2025-03-23 19:40:00,https://www.linkedin.com/in/noor-shaikh659,3,0.2
INT-10183,Zara Abbasi,zara.abbasi183@gmail.com,03475648747,26,Female,Larkana,Sindh,BS Data Science,NUST,3.89,"Git, Power BI, Tableau, Statistics",12,Data Analytics,University Portal,32000,2025-03-14 10:46:00,https://www.linkedin.com/in/zara-abbasi183,4,1.0
INT-10425,Fatima Rind,fatima.rind425@yahoo.com,03316630731,28,Female,Larkana,Sindh,BS Computer Science,University of Karachi,2.65,"Excel, Communication, Statistics, Machine Learning, Git",14,Software Development,University Portal,40000,2025-04-18 19:30:00,https://www.linkedin.com/in/fatima-rind425,5,1.2
INT-10065,Talha Rind,talha.rind65@icloud.com,03219239650,22,Male,Multan,Punjab,BS Information Technology,Shah Abdul Latif University,2.6,"Python, Machine Learning, Git, Communication",2,Finance,LinkedIn,15000,2025-03-02 12:54:00,https://www.linkedin.com/in/talha-rind65,4,0.2
INT-10537,Laiba Abbasi,laiba.abbasi537@icloud.com,03295058606,23,Male,Lahore,Punjab,BS Economics,FAST NUCES,2.81,"Git, Communication, Pandas",9,Software Development,University Portal,46000,2025-03-19 19:45:00,https://www.linkedin.com/in/laiba-abbasi537,3,0.8
INT-10051,Eman Siddiqui,eman.siddiqui51@yahoo.com,03475617083,25,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,FAST NUCES,3.77,"Statistics, Communication, Data Visualization, SQL, Html, Css",7,Product,Referral,37000,2025-04-15 21:40:00,https://www.linkedin.com/in/eman-siddiqui51,6,0.6
INT-10626,Zain Mirza,zain.mirza626@outlook.com,03075142357,28,Male,Hyderabad,Sindh,BS Information Technology,Bahria University,3.05,"Pandas, Data Visualization, Python, Communication, Machine Learning, SQL",2,Product,Indeed,32000,2025-04-16 12:02:00,https://www.linkedin.com/in/zain-mirza626,6,0.2
INT-10727,Mariam Rind,mariam.rind727@gmail.com,03441250592,24,Male,Nawabshah,Sindh,BS Software Engineering,FAST NUCES,3.23,"Html, Css, SQL, Statistics, Machine Learning, Excel",12,Software Development,Direct,30000,2025-04-01 06:40:00,https://www.linkedin.com/in/mariam-rind727,6,1.0
INT-10396,Bilal Siddiqui,bilal.siddiqui396@gmail.com,03223330925,27,Male,Islamabad,Islamabad Capital Territory,BS Computer Science,University of Karachi,3.34,"Excel, Pandas, Communication, Machine Learning",29,Data Analytics,University Portal,31000,2025-04-14 06:48:00,https://www.linkedin.com/in/bilal-siddiqui396,4,2.4
INT-10307,Ahsan Syed,ahsan.syed307@icloud.com,03457180545,27,Male,Larkana,Sindh,BS Information Technology,Punjab University,3.29,"SQL, Excel, Pandas, Data Visualization",15,Business Intelligence,Direct,18000,2025-03-03 00:51:00,https://www.linkedin.com/in/ahsan-syed307,4,1.2
INT-10023,Bilal Ansari,bilal.ansari23@gmail.com,03073639321,30,Male,Hyderabad,Sindh,BS Computer Science,NED University,2.96,"Power BI, Tableau, Statistics, Python, Data Visualization, Html, Css",3,Marketing,Indeed,23000,2025-03-26 02:14:00,https://www.linkedin.com/in/bilal-ansari23,7,0.2
INT-10777,Hamza Shaikh,hamza.shaikh777@outlook.com,03440001645,28,Male,Lahore,Punjab,BBA,IBA Karachi,3.19,"Power BI, Machine Learning",2,Product,University Portal,22000,2025-03-15 09:01:00,https://www.linkedin.com/in/hamza-shaikh777,2,0.2
INT-10059,Ali Chandio,ali.chandio59@icloud.com,03130204444,27,Female,Multan,Punjab,BS Software Engineering,Shah Abdul Latif University,3.43,"Data Visualization, Python, Html, Css, Git, Pandas",10,Data Analytics,Internee.pk,33000,2025-04-16 03:22:00,Not Provided,6,0.8
INT-10817,Hamza Rind,hamza.rind817@gmail.com,03097953639,25,Female,Larkana,Sindh,BS Computer Science,NED University,3.78,Not Specified,19,Software Development,Referral,26000,2025-03-17 14:17:00,https://www.linkedin.com/in/hamza-rind817,0,1.6
INT-10611,Sana Ansari,sana.ansari611@yahoo.com,03117566565,31,Male,Hyderabad,Sindh,BS Computer Science,NED University,3.2,"Html, Css, Data Visualization, Git, Statistics, Power BI, Python",36,Marketing,University Portal,45000,2025-03-23 09:53:00,https://www.linkedin.com/in/sana-ansari611,7,3.0
INT-10825,Sajid Abbasi,sajid.abbasi825@icloud.com,03340807358,20,Female,Quetta,Balochistan,BS Economics,Punjab University,2.93,"Power BI, Data Visualization, Python",9,Finance,Internee.pk,25000,2025-03-02 20:12:00,https://www.linkedin.com/in/sajid-abbasi825,3,0.8
INT-10550,Farhan Baloch,farhan.baloch550@yahoo.com,03390731056,25,Male,Faisalabad,Punjab,BS Statistics,University of Sindh,3.43,"Excel, Power BI, Statistics, Python, Communication, Git",18,Software Development,Indeed,39000,2025-04-11 18:16:00,https://www.linkedin.com/in/farhan-baloch550,6,1.5
INT-10340,Mahnoor Shaikh,mahnoor.shaikh340@outlook.com,03128445018,25,Male,Nawabshah,Sindh,BS Information Technology,COMSATS University,2.95,"Python, Excel, Html, Css, Machine Learning, Communication, Pandas",3,Software Development,University Portal,44000,2025-04-04 15:30:00,https://www.linkedin.com/in/mahnoor-shaikh340,7,0.2
INT-10678,Sajid Siddiqui,sajid.siddiqui678@yahoo.com,03411352108,23,Male,Islamabad,Islamabad Capital Territory,BS Computer Science,Mehran University,3.04,"Power BI, Tableau",9,Software Development,University Portal,33000,2025-03-31 13:55:00,https://www.linkedin.com/in/sajid-siddiqui678,2,0.8
INT-10003,Noor Jatoi,noor.jatoi3@outlook.com,03151788354,25,Male,Nawabshah,Sindh,BS Statistics,NED University,3.1,"Python, Machine Learning, Git, Communication",13,Marketing,Direct,40000,2025-03-21 19:31:00,https://www.linkedin.com/in/noor-jatoi3,4,1.1
INT-10836,Yasir Chandio,yasir.chandio836@icloud.com,03023429536,26,Male,Islamabad,Islamabad Capital Territory,BS Economics,NUST,2.68,"SQL, Git, Pandas",21,Marketing,Indeed,36000,2025-03-03 02:09:00,https://www.linkedin.com/in/yasir-chandio836,3,1.8
INT-10624,Nimra Malik,nimra.malik624@gmail.com,03023975012,24,Female,Nawabshah,Sindh,BS Information Technology,Shah Abdul Latif University,3.17,"Git, Machine Learning, Html, Css, Statistics",3,Software Development,Indeed,27000,2025-04-22 23:27:00,https://www.linkedin.com/in/nimra-malik624,5,0.2
INT-10724,Laiba Ali,laiba.ali724@yahoo.com,03075695835,31,Male,Karachi,Sindh,BS Information Technology,Not Provided,2.79,"Data Visualization, Html, Css, Excel, Power BI, Python",5,Data Analytics,Referral,36000,2025-04-16 08:14:00,https://www.linkedin.com/in/laiba-ali724,6,0.4
INT-10523,Mahnoor Rind,mahnoor.rind523@icloud.com,03230691593,19,Female,Sukkur,Sindh,BS Information Technology,NED University,3.44,"Machine Learning, Power BI, Communication, Git, Pandas, SQL",23,Software Development,Direct,42000,2025-03-21 06:36:00,https://www.linkedin.com/in/mahnoor-rind523,6,1.9
INT-10338,Laiba Mirza,laiba.mirza338@gmail.com,03103907056,27,Female,Faisalabad,Punjab,BBA,NUST,2.32,"Python, Pandas, Machine Learning, Html, Css, Git",13,Data Analytics,University Portal,50000,2025-03-08 03:58:00,https://www.linkedin.com/in/laiba-mirza338,6,1.1
INT-10123,Farhan Shah,farhan.shah123@outlook.com,03073304905,25,Male,Mardan,Khyber Pakhtunkhwa,BS Data Science,LUMS,2.87,"Tableau, Communication, Pandas",2,Software Development,University Portal,20000,2025-04-27 07:51:00,https://www.linkedin.com/in/farhan-shah123,3,0.2
INT-10246,Rida Rind,rida.rind246@icloud.com,03198792689,24,Female,Hyderabad,Sindh,BS Computer Science,FAST NUCES,3.03,"Html, Css, Machine Learning",9,Software Development,Internee.pk,43000,2025-03-18 16:24:00,https://www.linkedin.com/in/rida-rind246,3,0.8
INT-10145,Farhan Ali,farhan.ali145@outlook.com,03184582985,23,Male,Hyderabad,Sindh,BBA,FAST NUCES,3.32,"Data Visualization, Statistics",10,Marketing,Indeed,34000,2025-03-18 18:46:00,https://www.linkedin.com/in/farhan-ali145,2,0.8
INT-10011,Ahsan Ali,ahsan.ali11@yahoo.com,03150163144,26,Male,Gujranwala,Punjab,BS Computer Science,University of Sindh,3.27,"Machine Learning, Excel, Html, Css, SQL, Python",17,Finance,Referral,35000,2025-03-21 13:03:00,https://www.linkedin.com/in/ahsan-ali11,6,1.4
INT-10496,Zara Malik,zara.malik496@outlook.com,03492307517,29,Female,Lahore,Punjab,BS Computer Science,NED University,3.0,"Excel, Data Visualization",8,Data Analytics,University Portal,33000,2025-03-11 08:33:00,https://www.linkedin.com/in/zara-malik496,2,0.7
INT-10191,Hamza Khan,hamza.khan191@outlook.com,03162251616,28,Female,Nawabshah,Sindh,BS Computer Science,NUST,2.91,"Git, Html, Css, Tableau, Pandas, Excel, Python",2,Product,LinkedIn,35000,2025-04-13 12:23:00,Not Provided,7,0.2
INT-10399,Talha Baloch,talha.baloch399@yahoo.com,03117997660,22,Male,Multan,Punjab,BS Computer Science,Bahria University,3.27,"Tableau, SQL, Communication, Excel",18,Data Analytics,Referral,19000,2025-04-17 23:20:00,https://www.linkedin.com/in/talha-baloch399,4,1.5
INT-10711,Danish Syed,danish.syed711@outlook.com,03196604054,23,Female,Larkana,Sindh,BS Data Science,IBA Karachi,2.76,"Html, Css, Excel, Statistics",16,Data Analytics,Indeed,22000,2025-03-31 14:30:00,https://www.linkedin.com/in/danish-syed711,4,1.3
INT-20039,Laiba Khan,laiba.khan525@outlook.com,03055261306,27,Female,Lahore,Punjab,BS Computer Science,University of Sindh,3.19,"Html, Css, Excel, SQL, Communication, Data Visualization",4,Software Development,University Portal,27000,2025-03-14 04:54:00,https://www.linkedin.com/in/laiba-khan525,6,0.3
INT-10521,Saad Ahmed,saad.ahmed521@yahoo.com,03367121044,20,Male,Multan,Punjab,BS Software Engineering,COMSATS University,3.4,"Pandas, Git, Tableau, Machine Learning, Data Visualization, Html, Css",26,Marketing,University Portal,18000,2025-04-06 07:59:00,https://www.linkedin.com/in/saad-ahmed521,7,2.2
INT-10783,Muhammad Ali,muhammad.ali783@yahoo.com,03164441569,29,Male,Rawalpindi,Punjab,BS Computer Science,COMSATS University,2.83,"Html, Css, Data Visualization, Python, Excel, Tableau, Machine Learning",26,Finance,Internee.pk,11000,2025-03-08 05:55:00,https://www.linkedin.com/in/muhammad-ali783,7,2.2
INT-10769,Bilal Baloch,bilal.baloch769@yahoo.com,03158208274,21,Male,Islamabad,Islamabad Capital Territory,BS Software Engineering,COMSATS University,3.22,"Excel, Git, Data Visualization, Power BI, Machine Learning, Communication",20,Data Analytics,Indeed,36000,2025-03-05 09:25:00,https://www.linkedin.com/in/bilal-baloch769,6,1.7
INT-10610,Shayan Shah,shayan.shah610@outlook.com,03260621900,27,Female,Peshawar,Khyber Pakhtunkhwa,BS Data Science,COMSATS University,2.51,"SQL, Git, Communication, Pandas, Statistics, Excel",6,Finance,LinkedIn,52000,2025-03-30 16:04:00,https://www.linkedin.com/in/shayan-shah610,6,0.5
INT-10782,Mariam Shah,mariam.shah782@yahoo.com,03115676804,28,Male,Abbottabad,Khyber Pakhtunkhwa,BBA,University of Karachi,2.25,"Excel, Data Visualization, Python, Communication, Statistics, SQL",8,Marketing,Direct,33000,2025-04-04 23:12:00,https://www.linkedin.com/in/mariam-shah782,6,0.7
INT-10640,Hamza Chandio,hamza.chandio640@yahoo.com,03402439994,29,Female,Gujranwala,Punjab,BS Information Technology,COMSATS University,3.74,"Excel, Tableau, Statistics, Machine Learning",8,Data Analytics,Direct,25000,2025-03-28 07:29:00,https://www.linkedin.com/in/hamza-chandio640,4,0.7
INT-10713,Hussain Shah,hussain.shah713@icloud.com,03095876194,26,Male,Karachi,Sindh,BS Statistics,FAST NUCES,3.4,"Excel, Git, Pandas",5,Human Resources,University Portal,14000,2025-03-21 23:32:00,https://www.linkedin.com/in/hussain-shah713,3,0.4
INT-10630,Iqra Abbasi,iqra.abbasi630@yahoo.com,03160195372,23,Male,Larkana,Sindh,BS Software Engineering,Bahria University,2.65,"Data Visualization, SQL, Pandas",5,Software Development,Internee.pk,20000,2025-03-09 02:54:00,https://www.linkedin.com/in/iqra-abbasi630,3,0.4
INT-10447,Sidra Mirza,sidra.mirza447@icloud.com,03186760064,25,Female,Larkana,Sindh,BS Information Technology,Shah Abdul Latif University,2.0,"Excel, Statistics, Html, Css",14,Data Analytics,University Portal,12000,2025-04-06 21:54:00,https://www.linkedin.com/in/sidra-mirza447,4,1.2
INT-10302,Hamza Syed,hamza.syed302@yahoo.com,03230377516,23,Male,Gujranwala,Punjab,BS Information Technology,University of Sindh,2.88,"Git, Python",1,Software Development,University Portal,19000,2025-04-11 11:47:00,https://www.linkedin.com/in/hamza-syed302,2,0.1
INT-10127,Ali Rajput,ali.rajput127@yahoo.com,03323800090,25,Male,Larkana,Sindh,BS Data Science,IBA Karachi,3.58,"Pandas, Statistics, Git",6,Software Development,Internee.pk,31000,2025-03-20 17:14:00,https://www.linkedin.com/in/ali-rajput127,3,0.5
INT-10516,Muhammad Ahmed,muhammad.ahmed516@yahoo.com,Not Provided,26,Male,Faisalabad,Punjab,BS Data Science,LUMS,2.95,"Excel, Statistics, Communication",15,Data Analytics,LinkedIn,25000,2025-03-09 15:13:00,https://www.linkedin.com/in/muhammad-ahmed516,3,1.2
INT-10576,Hira Baloch,hira.baloch576@outlook.com,03389017410,26,Female,Multan,Punjab,BBA,Mehran University,2.6,"Statistics, Power BI",7,Business Intelligence,University Portal,14000,2025-03-08 19:57:00,https://www.linkedin.com/in/hira-baloch576,2,0.6
INT-10509,Mariam Baloch,mariam.baloch509@yahoo.com,03331986889,33,Female,Sukkur,Sindh,BS Computer Science,LUMS,2.86,"Git, Data Visualization, Html, Css, Python, Excel",6,Data Analytics,University Portal,24000,2025-03-07 23:33:00,https://www.linkedin.com/in/mariam-baloch509,6,0.5
INT-10824,Farhan Bhatti,farhan.bhatti824@gmail.com,03083193263,27,Male,Gujranwala,Punjab,BBA,University of Sindh,3.26,"Machine Learning, Python",9,Finance,Internee.pk,28000,2025-03-21 00:42:00,https://www.linkedin.com/in/farhan-bhatti824,2,0.8
INT-10254,Sidra Syed,sidra.syed254@outlook.com,03182777702,24,Female,Gujranwala,Punjab,BS Statistics,Punjab University,3.06,"Power BI, Python, Git",22,Business Intelligence,Indeed,39000,2025-04-16 03:16:00,https://www.linkedin.com/in/sidra-syed254,3,1.8
INT-10435,Eman Ansari,eman.ansari435@gmail.com,03280746445,26,Male,Nawabshah,Sindh,BS Software Engineering,Punjab University,2.67,"Power BI, Html, Css, Machine Learning, Statistics",0,Human Resources,LinkedIn,12000,2025-04-15 22:40:00,https://www.linkedin.com/in/eman-ansari435,5,0.0
INT-10269,Areeba Ali,areeba.ali269@gmail.com,03013679287,23,Male,Hyderabad,Sindh,BS Information Technology,University of Karachi,3.11,"Machine Learning, SQL, Tableau",5,Product,Indeed,16000,2025-03-12 09:30:00,https://www.linkedin.com/in/areeba-ali269,3,0.4
INT-10306,Hamza Jatoi,hamza.jatoi306@gmail.com,03253622532,26,Male,Hyderabad,Sindh,BS Computer Science,Bahria University,3.73,"Excel, Power BI, Communication",6,Data Analytics,Referral,52000,2025-03-26 17:55:00,https://www.linkedin.com/in/hamza-jatoi306,3,0.5
INT-10009,Saad Khan,saad.khan9@gmail.com,03184530650,27,Male,Nawabshah,Sindh,BS Software Engineering,Punjab University,3.36,"Machine Learning, Html, Css, Power BI, Python, Git, Excel",23,Finance,Indeed,10000,2025-03-22 22:44:00,https://www.linkedin.com/in/saad-khan9,7,1.9
INT-10378,Mariam Baloch,mariam.baloch378@gmail.com,03059375688,29,Female,Islamabad,Islamabad Capital Territory,BS Information Technology,Punjab University,2.58,"Pandas, Machine Learning, Html, Css, Git",10,Finance,LinkedIn,25000,2025-03-12 00:03:00,https://www.linkedin.com/in/mariam-baloch378,5,0.8
INT-20013,Iqra Siddiqui,iqra.siddiqui208@outlook.com,03031479842,21,Male,Karachi,Sindh,BS Information Technology,LUMS,3.19,"Data Visualization, Power BI, Excel",8,Software Development,Referral,34000,2025-03-31 16:05:00,https://www.linkedin.com/in/iqra-siddiqui208,3,0.7
