application_id,field,original_value,cleaned_value,issue_type,action
INT-20012,city,ISLAMABAD,Islamabad,City formatting,Mapped to canonical city
INT-10220,city,Hyd,Hyderabad,City formatting,Mapped to canonical city
INT-10048,city,khairpur,Khairpur,City formatting,Mapped to canonical city
INT-10414,city,sukkur,Sukkur,City formatting,Mapped to canonical city
INT-10702,city,islamabad,Islamabad,City formatting,Mapped to canonical city
INT-10105,city,KHAIRPUR,Khairpur,City formatting,Mapped to canonical city
INT-10453,city,karachi,Karachi,City formatting,Mapped to canonical city
INT-10094,city,khairpur,Khairpur,City formatting,Mapped to canonical city
INT-10004,city,karachi,Karachi,City formatting,Mapped to canonical city
INT-10754,city,Rawalpindi ,Rawalpindi,City formatting,Mapped to canonical city
INT-10743,education_level,B.S Information Technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10423,education_level,bs information technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10646,education_level,BS IT,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10780,education_level,BSSE,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10095,education_level,bs data science,BS Data Science,Education formatting,Mapped to canonical degree
INT-10691,education_level,B.S. Computer Science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10234,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10475,education_level,bs software engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10562,education_level,bs data science,BS Data Science,Education formatting,Mapped to canonical degree
INT-10654,education_level,B.S. Computer Science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10572,education_level,B.S Information Technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10396,education_level,bs computer science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10516,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10507,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-20026,education_level,bs software engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-20009,education_level,bs information technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10021,education_level,bs software engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10115,education_level,bs data science,BS Data Science,Education formatting,Mapped to canonical degree
INT-10225,education_level,B.S. Computer Science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10058,education_level,BSCS,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10644,education_level,B.S Information Technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10288,education_level,BSCS,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10173,education_level,bs software engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10426,education_level,BS IT,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10299,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10632,education_level,B.S Software Engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10264,education_level,B.S Software Engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10184,education_level,BS IT,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10570,education_level,bs software engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10293,education_level,bs information technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10104,education_level,B.S Software Engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10533,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10143,education_level,B.S Software Engineering,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10719,education_level,B.S. Computer Science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10494,education_level,BSCS,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10848,education_level,bs information technology,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10206,education_level,BS IT,BS Information Technology,Education formatting,Mapped to canonical degree
INT-10027,education_level,bs computer science,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10467,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10517,education_level,BSSE,BS Software Engineering,Education formatting,Mapped to canonical degree
INT-10004,education_level,BSCS,BS Computer Science,Education formatting,Mapped to canonical degree
INT-10483,education_level,BSDS,BS Data Science,Education formatting,Mapped to canonical degree
INT-10826,preferred_department,Data analyst,Data Analytics,Department formatting,Mapped to canonical department
INT-10646,preferred_department,HR,Human Resources,Department formatting,Mapped to canonical department
INT-10189,preferred_department,data analytics,Data Analytics,Department formatting,Mapped to canonical department
INT-10095,preferred_department,HR,Human Resources,Department formatting,Mapped to canonical department
INT-10652,preferred_department,business intelligence,Business Intelligence,Department formatting,Mapped to canonical department
INT-10030,preferred_department,software development,Software Development,Department formatting,Mapped to canonical department
INT-20002,preferred_department,Software dev,Software Development,Department formatting,Mapped to canonical department
INT-10851,preferred_department,BI,Business Intelligence,Department formatting,Mapped to canonical department
INT-10620,preferred_department,DATA ANALYTICS,Data Analytics,Department formatting,Mapped to canonical department
INT-10244,preferred_department,HR,Human Resources,Department formatting,Mapped to canonical department
INT-10097,preferred_department,BI,Business Intelligence,Department formatting,Mapped to canonical department
INT-10193,preferred_department,Software dev,Software Development,Department formatting,Mapped to canonical department
INT-10471,preferred_department,software development,Software Development,Department formatting,Mapped to canonical department
INT-10455,preferred_department,software development,Software Development,Department formatting,Mapped to canonical department
INT-10627,preferred_department,human resources,Human Resources,Department formatting,Mapped to canonical department
INT-10085,preferred_department,human resources,Human Resources,Department formatting,Mapped to canonical department
INT-10058,preferred_department,business intelligence,Business Intelligence,Department formatting,Mapped to canonical department
INT-10080,preferred_department,software development,Software Development,Department formatting,Mapped to canonical department
INT-10213,preferred_department,DATA ANALYTICS,Data Analytics,Department formatting,Mapped to canonical department
INT-10581,preferred_department,BI,Business Intelligence,Department formatting,Mapped to canonical department
INT-10651,preferred_department,HR,Human Resources,Department formatting,Mapped to canonical department
INT-10341,preferred_department,human resources,Human Resources,Department formatting,Mapped to canonical department
INT-10283,preferred_department,Data analyst,Data Analytics,Department formatting,Mapped to canonical department
INT-10355,preferred_department,BI,Business Intelligence,Department formatting,Mapped to canonical department
INT-10359,preferred_department,Software dev,Software Development,Department formatting,Mapped to canonical department
INT-10747,preferred_department,data analytics,Data Analytics,Department formatting,Mapped to canonical department
INT-10603,preferred_department,Software dev,Software Development,Department formatting,Mapped to canonical department
INT-10733,preferred_department,HR,Human Resources,Department formatting,Mapped to canonical department
INT-10414,preferred_department,BI,Business Intelligence,Department formatting,Mapped to canonical department
INT-10366,preferred_department,Data analyst,Data Analytics,Department formatting,Mapped to canonical department
INT-10462,preferred_department,DATA ANALYTICS,Data Analytics,Department formatting,Mapped to canonical department
INT-10757,preferred_department,business intelligence,Business Intelligence,Department formatting,Mapped to canonical department
INT-10483,preferred_department,software development,Software Development,Department formatting,Mapped to canonical department
INT-20010,skills,"HTML/CSS, Python","Html, Css, Python",Skills formatting,Standardized delimiters and labels
INT-10565,skills,sql; Python; pandas; Excel; Communication,"SQL, Python, Pandas, Excel, Communication",Skills formatting,Standardized delimiters and labels
INT-10776,skills,"Power BI, Machine Learning, Python, Communication, SQL, HTML/CSS","Power BI, Machine Learning, Python, Communication, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10696,skills,"Excel, HTML/CSS","Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10826,skills,"Excel, HTML/CSS, Git, Pandas, Machine Learning, SQL","Excel, Html, Css, Git, Pandas, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10365,skills,"Power BI, Statistics, Communication, HTML/CSS, Machine Learning, Python","Power BI, Statistics, Communication, Html, Css, Machine Learning, Python",Skills formatting,Standardized delimiters and labels
INT-10704,skills,"Power BI, Pandas, Git, HTML/CSS, Machine Learning","Power BI, Pandas, Git, Html, Css, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10450,skills,"Power BI, HTML/CSS, Machine Learning, Git","Power BI, Html, Css, Machine Learning, Git",Skills formatting,Standardized delimiters and labels
INT-10364,skills,Git; Communication; HTML/CSS; SQL; excel; Machine Learning,"Git, Communication, Html, Css, SQL, Excel, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10020,skills,"Git, Statistics, HTML/CSS","Git, Statistics, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10249,skills,"Pandas, HTML/CSS, Excel, Communication","Pandas, Html, Css, Excel, Communication",Skills formatting,Standardized delimiters and labels
INT-10677,skills,"HTML/CSS, Data Visualization, Communication, Tableau, Power BI","Html, Css, Data Visualization, Communication, Tableau, Power BI",Skills formatting,Standardized delimiters and labels
INT-10289,skills,"Pandas, Machine Learning, Communication, Data Visualization, HTML/CSS","Pandas, Machine Learning, Communication, Data Visualization, Html, Css",Skills formatting,Standardized delimiters and labels
INT-20037,skills,"Machine Learning, Power BI, Excel, HTML/CSS","Machine Learning, Power BI, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10794,skills,"Python, HTML/CSS, Tableau, Git","Python, Html, Css, Tableau, Git",Skills formatting,Standardized delimiters and labels
INT-10416,skills,"Python, Pandas, Git, HTML/CSS, SQL, Data Visualization","Python, Pandas, Git, Html, Css, SQL, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10423,skills,"Machine Learning, HTML/CSS, Communication, Statistics, Python","Machine Learning, Html, Css, Communication, Statistics, Python",Skills formatting,Standardized delimiters and labels
INT-20018,skills,"Git, Power BI, HTML/CSS, SQL, Statistics","Git, Power BI, Html, Css, SQL, Statistics",Skills formatting,Standardized delimiters and labels
INT-10686,skills,"Data Visualization, Tableau, HTML/CSS","Data Visualization, Tableau, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10695,skills,Machine Learning / excel,"Machine Learning, Excel",Skills formatting,Standardized delimiters and labels
INT-10413,skills,"Excel, HTML/CSS, Tableau, Data Visualization, Statistics","Excel, Html, Css, Tableau, Data Visualization, Statistics",Skills formatting,Standardized delimiters and labels
INT-10468,skills,"Power BI, Data Visualization, HTML/CSS, Python, Statistics, Tableau","Power BI, Data Visualization, Html, Css, Python, Statistics, Tableau",Skills formatting,Standardized delimiters and labels
INT-10050,skills,git | statistics | Machine Learning | excel | powerbi | Tableau,"Git, Statistics, Machine Learning, Excel, Power BI, Tableau",Skills formatting,Standardized delimiters and labels
INT-10189,skills,"HTML/CSS, SQL, Python, Data Visualization","Html, Css, SQL, Python, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10014,skills,Git; Power BI,"Git, Power BI",Skills formatting,Standardized delimiters and labels
INT-10814,skills,"HTML/CSS, Tableau, Python","Html, Css, Tableau, Python",Skills formatting,Standardized delimiters and labels
INT-10683,skills,"HTML/CSS, Python, SQL, Tableau, Data Visualization","Html, Css, Python, SQL, Tableau, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10772,skills,"SQL, Data Visualization, HTML/CSS, Git, Python","SQL, Data Visualization, Html, Css, Git, Python",Skills formatting,Standardized delimiters and labels
INT-10100,skills,"Pandas, SQL, Excel, Git, HTML/CSS, Power BI","Pandas, SQL, Excel, Git, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10363,skills,"Git, Communication, Pandas, HTML/CSS, Statistics","Git, Communication, Pandas, Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10788,skills,"HTML/CSS, Machine Learning","Html, Css, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10594,skills,"HTML/CSS, Excel, Python","Html, Css, Excel, Python",Skills formatting,Standardized delimiters and labels
INT-10729,skills,power bi | Statistics | Data Visualization | Python,"Power BI, Statistics, Data Visualization, Python",Skills formatting,Standardized delimiters and labels
INT-10740,skills,machine learning; Statistics; Excel,"Machine Learning, Statistics, Excel",Skills formatting,Standardized delimiters and labels
INT-10543,skills,"Excel, HTML/CSS","Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10779,skills,sql | Communication,"SQL, Communication",Skills formatting,Standardized delimiters and labels
INT-10381,skills,"Machine Learning, Power BI, HTML/CSS","Machine Learning, Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10723,skills,"Tableau, Python, HTML/CSS, Git","Tableau, Python, Html, Css, Git",Skills formatting,Standardized delimiters and labels
INT-10119,skills,"HTML/CSS, Pandas, Excel, Data Visualization, Machine Learning","Html, Css, Pandas, Excel, Data Visualization, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10095,skills,"Python, Statistics, HTML/CSS, Excel, Power BI, Pandas","Python, Statistics, Html, Css, Excel, Power BI, Pandas",Skills formatting,Standardized delimiters and labels
INT-10356,skills,"Tableau, Git, Python, Pandas, HTML/CSS, Power BI","Tableau, Git, Python, Pandas, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10691,skills,"SQL, Tableau, HTML/CSS, Machine Learning, Git, Power BI","SQL, Tableau, Html, Css, Machine Learning, Git, Power BI",Skills formatting,Standardized delimiters and labels
INT-10853,skills,powerbi; excel,"Power BI, Excel",Skills formatting,Standardized delimiters and labels
INT-10481,skills,"HTML/CSS, Tableau, Excel, Python, Communication, SQL","Html, Css, Tableau, Excel, Python, Communication, SQL",Skills formatting,Standardized delimiters and labels
INT-10106,skills,"Power BI, HTML/CSS, Data Visualization, Python, Tableau, SQL","Power BI, Html, Css, Data Visualization, Python, Tableau, SQL",Skills formatting,Standardized delimiters and labels
INT-10156,skills,"HTML/CSS, Tableau, Git, Data Visualization","Html, Css, Tableau, Git, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10428,skills,"Machine Learning, Tableau, Python, Communication, HTML/CSS","Machine Learning, Tableau, Python, Communication, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10309,skills,"HTML/CSS, Power BI, Machine Learning, Communication, Statistics, SQL","Html, Css, Power BI, Machine Learning, Communication, Statistics, SQL",Skills formatting,Standardized delimiters and labels
INT-10062,skills,"Communication, HTML/CSS, Excel, Pandas, Tableau","Communication, Html, Css, Excel, Pandas, Tableau",Skills formatting,Standardized delimiters and labels
INT-20003,skills,sql | Communication,"SQL, Communication",Skills formatting,Standardized delimiters and labels
INT-10699,skills,"Python, Tableau, Pandas, Communication, HTML/CSS","Python, Tableau, Pandas, Communication, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10028,skills,"Excel, Pandas, HTML/CSS, Tableau","Excel, Pandas, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10843,skills,python / html/css / Power BI,"Python, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10030,skills,SQL / power bi / excel / git / Statistics,"SQL, Power BI, Excel, Git, Statistics",Skills formatting,Standardized delimiters and labels
INT-10784,skills,"Data Visualization, Pandas, Power BI, HTML/CSS, Python, Communication","Data Visualization, Pandas, Power BI, Html, Css, Python, Communication",Skills formatting,Standardized delimiters and labels
INT-10476,skills,"SQL, Tableau, Communication, HTML/CSS","SQL, Tableau, Communication, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10844,skills,"SQL, Statistics, Machine Learning, HTML/CSS, Excel","SQL, Statistics, Machine Learning, Html, Css, Excel",Skills formatting,Standardized delimiters and labels
INT-10383,skills,sql / Communication,"SQL, Communication",Skills formatting,Standardized delimiters and labels
INT-10186,skills,"Git, Excel, HTML/CSS","Git, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10816,skills,"Excel, Machine Learning, Power BI, SQL, HTML/CSS","Excel, Machine Learning, Power BI, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10313,skills,"Tableau, Statistics, SQL, HTML/CSS, Machine Learning","Tableau, Statistics, SQL, Html, Css, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10077,skills,communication | Tableau | Git,"Communication, Tableau, Git",Skills formatting,Standardized delimiters and labels
INT-10138,skills,"Communication, HTML/CSS, SQL, Machine Learning, Power BI","Communication, Html, Css, SQL, Machine Learning, Power BI",Skills formatting,Standardized delimiters and labels
INT-10229,skills,"Python, HTML/CSS, Data Visualization, Communication","Python, Html, Css, Data Visualization, Communication",Skills formatting,Standardized delimiters and labels
INT-10131,skills,Machine Learning | HTML/CSS | Pandas | Statistics | Tableau | Python,"Machine Learning, Html, Css, Pandas, Statistics, Tableau, Python",Skills formatting,Standardized delimiters and labels
INT-10586,skills,"Communication, Pandas, Git, Machine Learning, HTML/CSS","Communication, Pandas, Git, Machine Learning, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10761,skills,"SQL, Data Visualization, HTML/CSS, Statistics, Communication","SQL, Data Visualization, Html, Css, Statistics, Communication",Skills formatting,Standardized delimiters and labels
INT-20007,skills,power bi | Statistics | Data Visualization | Python,"Power BI, Statistics, Data Visualization, Python",Skills formatting,Standardized delimiters and labels
INT-10629,skills,"HTML/CSS, Communication","Html, Css, Communication",Skills formatting,Standardized delimiters and labels
INT-20020,skills,"Power BI, SQL, Statistics, HTML/CSS, Tableau, Pandas","Power BI, SQL, Statistics, Html, Css, Tableau, Pandas",Skills formatting,Standardized delimiters and labels
INT-10405,skills,Communication | Tableau | python | statistics | power bi,"Communication, Tableau, Python, Statistics, Power BI",Skills formatting,Standardized delimiters and labels
INT-10475,skills,"HTML/CSS, Power BI, Git","Html, Css, Power BI, Git",Skills formatting,Standardized delimiters and labels
INT-10136,skills,"HTML/CSS, Python, Git, Communication","Html, Css, Python, Git, Communication",Skills formatting,Standardized delimiters and labels
INT-10679,skills,"SQL, HTML/CSS","SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10380,skills,"Pandas, HTML/CSS, Data Visualization, SQL","Pandas, Html, Css, Data Visualization, SQL",Skills formatting,Standardized delimiters and labels
INT-10441,skills,"Machine Learning, Power BI, Excel, HTML/CSS","Machine Learning, Power BI, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10282,skills,Communication | Machine Learning | sql,"Communication, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10774,skills,"HTML/CSS, Data Visualization, SQL, Communication, Python","Html, Css, Data Visualization, SQL, Communication, Python",Skills formatting,Standardized delimiters and labels
INT-10768,skills,"Data Visualization, Git, HTML/CSS","Data Visualization, Git, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10469,skills,"Pandas, Machine Learning, Python, Tableau, HTML/CSS","Pandas, Machine Learning, Python, Tableau, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10572,skills,"Communication, HTML/CSS, Machine Learning, Statistics, Excel, Power BI","Communication, Html, Css, Machine Learning, Statistics, Excel, Power BI",Skills formatting,Standardized delimiters and labels
INT-10132,skills,Communication; Data Visualization; Power BI; Python,"Communication, Data Visualization, Power BI, Python",Skills formatting,Standardized delimiters and labels
INT-10649,skills,"Excel, Python, Communication, HTML/CSS, Statistics, Data Visualization","Excel, Python, Communication, Html, Css, Statistics, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10489,skills,"Pandas, Tableau, Excel, Machine Learning, SQL, HTML/CSS","Pandas, Tableau, Excel, Machine Learning, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10759,skills,"Excel, HTML/CSS","Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10325,skills,"HTML/CSS, Power BI, Pandas","Html, Css, Power BI, Pandas",Skills formatting,Standardized delimiters and labels
INT-10317,skills,"Git, Power BI, HTML/CSS, SQL, Statistics","Git, Power BI, Html, Css, SQL, Statistics",Skills formatting,Standardized delimiters and labels
INT-10847,skills,"HTML/CSS, Git, Tableau, Power BI, Machine Learning, SQL","Html, Css, Git, Tableau, Power BI, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10183,skills,Git / power bi / Tableau / Statistics,"Git, Power BI, Tableau, Statistics",Skills formatting,Standardized delimiters and labels
INT-10537,skills,Git / Communication / Pandas,"Git, Communication, Pandas",Skills formatting,Standardized delimiters and labels
INT-10051,skills,"Statistics, Communication, Data Visualization, SQL, HTML/CSS","Statistics, Communication, Data Visualization, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10626,skills,Pandas / Data Visualization / python / Communication / Machine Learning / SQL,"Pandas, Data Visualization, Python, Communication, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10727,skills,"HTML/CSS, SQL, Statistics, Machine Learning, Excel","Html, Css, SQL, Statistics, Machine Learning, Excel",Skills formatting,Standardized delimiters and labels
INT-10396,skills,excel / pandas / communication / machine learning,"Excel, Pandas, Communication, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10023,skills,"Power BI, Tableau, Statistics, Python, Data Visualization, HTML/CSS","Power BI, Tableau, Statistics, Python, Data Visualization, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10059,skills,"Data Visualization, Python, HTML/CSS, Git, Pandas","Data Visualization, Python, Html, Css, Git, Pandas",Skills formatting,Standardized delimiters and labels
INT-10611,skills,"HTML/CSS, Data Visualization, Git, Statistics, Power BI, Python","Html, Css, Data Visualization, Git, Statistics, Power BI, Python",Skills formatting,Standardized delimiters and labels
INT-10340,skills,"Python, Excel, HTML/CSS, Machine Learning, Communication, Pandas","Python, Excel, Html, Css, Machine Learning, Communication, Pandas",Skills formatting,Standardized delimiters and labels
INT-10624,skills,"Git, Machine Learning, HTML/CSS, Statistics","Git, Machine Learning, Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10724,skills,"Data Visualization, HTML/CSS, Excel, Power BI, Python","Data Visualization, Html, Css, Excel, Power BI, Python",Skills formatting,Standardized delimiters and labels
INT-10338,skills,"Python, Pandas, Machine Learning, HTML/CSS, Git","Python, Pandas, Machine Learning, Html, Css, Git",Skills formatting,Standardized delimiters and labels
INT-10246,skills,"HTML/CSS, Machine Learning","Html, Css, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10011,skills,"Machine Learning, Excel, HTML/CSS, SQL, Python","Machine Learning, Excel, Html, Css, SQL, Python",Skills formatting,Standardized delimiters and labels
INT-10191,skills,"Git, HTML/CSS, Tableau, Pandas, Excel, Python","Git, Html, Css, Tableau, Pandas, Excel, Python",Skills formatting,Standardized delimiters and labels
INT-10711,skills,"HTML/CSS, Excel, Statistics","Html, Css, Excel, Statistics",Skills formatting,Standardized delimiters and labels
INT-20039,skills,"HTML/CSS, Excel, SQL, Communication, Data Visualization","Html, Css, Excel, SQL, Communication, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10521,skills,Pandas; git; tableau; Machine Learning; Data Visualization; HTML/CSS,"Pandas, Git, Tableau, Machine Learning, Data Visualization, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10783,skills,"HTML/CSS, Data Visualization, Python, Excel, Tableau, Machine Learning","Html, Css, Data Visualization, Python, Excel, Tableau, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10782,skills,Excel; Data Visualization; python; Communication; Statistics; sql,"Excel, Data Visualization, Python, Communication, Statistics, SQL",Skills formatting,Standardized delimiters and labels
INT-10630,skills,data visualization | sql | Pandas,"Data Visualization, SQL, Pandas",Skills formatting,Standardized delimiters and labels
INT-10447,skills,"Excel, Statistics, HTML/CSS","Excel, Statistics, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10509,skills,"Git, Data Visualization, HTML/CSS, Python, Excel","Git, Data Visualization, Html, Css, Python, Excel",Skills formatting,Standardized delimiters and labels
INT-10435,skills,"Power BI, HTML/CSS, Machine Learning, Statistics","Power BI, Html, Css, Machine Learning, Statistics",Skills formatting,Standardized delimiters and labels
INT-10306,skills,Excel; Power BI; communication,"Excel, Power BI, Communication",Skills formatting,Standardized delimiters and labels
INT-10009,skills,"Machine Learning, HTML/CSS, Power BI, Python, Git, Excel","Machine Learning, Html, Css, Power BI, Python, Git, Excel",Skills formatting,Standardized delimiters and labels
INT-10378,skills,"Pandas, Machine Learning, HTML/CSS, Git","Pandas, Machine Learning, Html, Css, Git",Skills formatting,Standardized delimiters and labels
INT-10832,skills,"Python, HTML/CSS, SQL","Python, Html, Css, SQL",Skills formatting,Standardized delimiters and labels
INT-10126,skills,"Tableau, HTML/CSS, SQL","Tableau, Html, Css, SQL",Skills formatting,Standardized delimiters and labels
INT-10102,skills,"HTML/CSS, Excel, Power BI, Machine Learning","Html, Css, Excel, Power BI, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10250,skills,"Statistics, HTML/CSS, Git, Pandas","Statistics, Html, Css, Git, Pandas",Skills formatting,Standardized delimiters and labels
INT-10746,skills,Power BI | Machine Learning | Pandas | excel | Git | data visualization,"Power BI, Machine Learning, Pandas, Excel, Git, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10673,skills,"Power BI, HTML/CSS, Statistics","Power BI, Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10236,skills,"HTML/CSS, Communication, Pandas, SQL","Html, Css, Communication, Pandas, SQL",Skills formatting,Standardized delimiters and labels
INT-10797,skills,"HTML/CSS, Data Visualization, Git","Html, Css, Data Visualization, Git",Skills formatting,Standardized delimiters and labels
INT-10590,skills,"Python, SQL, HTML/CSS, Pandas, Machine Learning, Communication","Python, SQL, Html, Css, Pandas, Machine Learning, Communication",Skills formatting,Standardized delimiters and labels
INT-10172,skills,Data Visualization | sql,"Data Visualization, SQL",Skills formatting,Standardized delimiters and labels
INT-10508,skills,"Communication, Tableau, Power BI, Pandas, Machine Learning, HTML/CSS","Communication, Tableau, Power BI, Pandas, Machine Learning, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10732,skills,"HTML/CSS, Power BI, Git","Html, Css, Power BI, Git",Skills formatting,Standardized delimiters and labels
INT-10559,skills,"Excel, HTML/CSS, Git, Statistics, Data Visualization, Pandas","Excel, Html, Css, Git, Statistics, Data Visualization, Pandas",Skills formatting,Standardized delimiters and labels
INT-10018,skills,statistics / git / SQL / Power BI / Data Visualization,"Statistics, Git, SQL, Power BI, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10321,skills,"HTML/CSS, Python, Data Visualization, Communication, Statistics","Html, Css, Python, Data Visualization, Communication, Statistics",Skills formatting,Standardized delimiters and labels
INT-10589,skills,"Excel, HTML/CSS, Tableau","Excel, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10822,skills,Communication | Power BI | Machine Learning | Python | Tableau | Excel,"Communication, Power BI, Machine Learning, Python, Tableau, Excel",Skills formatting,Standardized delimiters and labels
INT-10239,skills,Excel / powerbi,"Excel, Power BI",Skills formatting,Standardized delimiters and labels
INT-10460,skills,powerbi / Statistics / HTML/CSS / git,"Power BI, Statistics, Html, Css, Git",Skills formatting,Standardized delimiters and labels
INT-10244,skills,"Tableau, HTML/CSS, Pandas","Tableau, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-10672,skills,Data Visualization / Communication / Machine Learning / excel,"Data Visualization, Communication, Machine Learning, Excel",Skills formatting,Standardized delimiters and labels
INT-10458,skills,Machine Learning; Statistics; Excel; Python,"Machine Learning, Statistics, Excel, Python",Skills formatting,Standardized delimiters and labels
INT-10786,skills,"Python, Git, HTML/CSS, SQL, Power BI, Communication","Python, Git, Html, Css, SQL, Power BI, Communication",Skills formatting,Standardized delimiters and labels
INT-10674,skills,"Communication, HTML/CSS, Machine Learning, SQL","Communication, Html, Css, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10850,skills,"Data Visualization, Communication, Power BI, Pandas, Git, HTML/CSS","Data Visualization, Communication, Power BI, Pandas, Git, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10653,skills,SQL | Python,"SQL, Python",Skills formatting,Standardized delimiters and labels
INT-10334,skills,Python / HTML/CSS / Data Visualization / Tableau / pandas,"Python, Html, Css, Data Visualization, Tableau, Pandas",Skills formatting,Standardized delimiters and labels
INT-10827,skills,"Git, HTML/CSS, SQL, Power BI, Machine Learning","Git, Html, Css, SQL, Power BI, Machine Learning",Skills formatting,Standardized delimiters and labels
